commGIS,ProvCap,Distance
200515,Svay Rieng,20.803961
200503,Svay Rieng,12.45577041
200504,Svay Rieng,6.580522864
200703,Svay Rieng,14.43665317
210601,Takeo,20.44500395
210909,Takeo,15.06974211
210902,Takeo,19.94967614
200604,Svay Rieng,1.554573924
200601,Svay Rieng,0.950783148
80503,Takeo,43.26037235
140602,Prey Veng,51.31646598
210104,Takeo,11.62286445
140603,Prey Veng,47.71966859
90104,Krong Preah Sihanouk,40.53310922
210711,Takeo,10.23823507
200102,Svay Rieng,37.91714184
200701,Svay Rieng,25.7483277
210914,Takeo,24.64556368
230201,Krong Keb,0.900928835
70615,Krong Keb,12.86354836
230101,Krong Keb,8.063841998
180208,Krong Preah Sihanouk,34.33388264
180104,Krong Preah Sihanouk,10.0988308
70612,Krong Keb,26.58374265
70601,Krong Keb,21.23909075
180208,Krong Preah Sihanouk,13.26362414
230202,Krong Keb,4.416971313
70605,Krong Keb,17.12391466
180206,Krong Preah Sihanouk,24.45609979
180205,Krong Preah Sihanouk,33.27889298
230102,Krong Keb,8.071267963
210412,Takeo,49.07143698
70203,Krong Keb,34.92089492
70608,Krong Keb,24.35676904
210411,Takeo,48.81481072
230103,Krong Keb,8.495568416
70609,Krong Keb,21.46609668
70208,Krong Keb,28.8080215
180103,Krong Preah Sihanouk,8.996134865
70801,Kampot,1.185941923
70805,Kampot,4.326519445
180202,Krong Preah Sihanouk,32.83485548
70206,Krong Keb,29.61654568
70702,Kampot,4.776717216
70209,Krong Keb,40.92772162
70718,Kampot,7.629262632
70708,Krong Keb,10.86449577
180206,Krong Preah Sihanouk,27.56091869
70607,Krong Keb,24.1570315
210407,Takeo,46.05595475
70604,Krong Keb,17.28276063
70802,Kampot,1.727561001
70803,Kampot,1.183188491
180105,Krong Preah Sihanouk,21.71871929
180104,Krong Preah Sihanouk,6.693534813
70701,Kampot,6.101615745
70603,Krong Keb,21.27594374
70606,Krong Keb,13.76647317
180105,Krong Preah Sihanouk,21.58579645
180102,Krong Preah Sihanouk,3.039444685
180103,Krong Preah Sihanouk,2.15146934
70719,Kampot,2.690111391
70707,Kampot,13.07894824
70804,Kampot,2.81434388
180207,Krong Preah Sihanouk,30.19100591
210405,Takeo,43.09935597
180103,Krong Preah Sihanouk,1.477169447
70704,Kampot,4.839342831
70504,Krong Keb,23.15765324
70717,Kampot,14.1533362
210408,Takeo,41.31781109
180208,Krong Preah Sihanouk,20.02347267
180213,Krong Preah Sihanouk,30.7650797
210409,Takeo,45.32587324
210402,Takeo,38.47906346
180203,Krong Preah Sihanouk,12.11478805
70207,Krong Keb,27.40792614
