CommCode,easting,northing
10208,278006,1491593
160402,682372,1481554
170702,367469,1490324
190203,598552,1483012
10212,294213,1492118
160202,714799,1519360
130204,532126,1517677
170607,339829,1516125
170103,369576,1514990
160303,736614,1514288
10407,307373,1516110
170104,352548,1517314
130102,520704,1513325
160306,729461,1517925
130405,468509,1513041
160702,750856,1516257
171305,425469,1511102
170302,395496,1511298
170102,360210,1518107
10507,266493,1517641
160203,721496,1517890
10604,280007,1512646
10501,272142,1509744
170101,351316,1510949
130603,480054,1510214
160707,772382,1498033
130706,507326,1509585
160405,692135,1502551
160304,733075,1508824
10508,241962,1512072
160201,719671,1510863
190103,634015,1499133
10601,292058,1513799
10504,250346,1508486
170604,347400,1515379
170107,357119,1511742
10402,301923,1511227
130103,532024,1505653
130602,487182,1505642
170610,329268,1508605
160704,766569,1488812
190510,594852,1506023
170608,343016,1508539
130104,538707,1499576
160701,755670,1489006
10502,260911,1506246
10506,264714,1510158
170201,372231,1506813
160504,713292,1509656
170203,379573,1504894
170601,334602,1508571
160305,743427,1509062
10406,309472,1503417
130105,552768,1497313
10403,315870,1495279
10606,288572,1504680
130601,493512,1498554
190511,602406,1501335
130604,477354,1494323
170605,339644,1503996
171304,428444,1497518
170105,361636,1506514
10408,323762,1506343
10602,280338,1506855
10401,294401,1506464
171303,408670,1498877
130101,525396,1507647
130106,523473,1499271
160503,714057,1504851
30702,507554,1312536
30806,546094,1313821
31106,558761,1312468
30708,512278,1312614
30807,548669,1313237
30404,594769,1313530
31013,633137,1307370
31204,587491,1308716
31410,526869,1311899
30808,531873,1313286
50405,397384,1301181
40705,464160,1313322
31408,518552,1313885
31614,567654,1314420
31107,553079,1311717
40505,472310,1311826
80707,499868,1310603
31604,568113,1310174
80711,494187,1306733
31209,598720,1308807
31207,593491,1308549
31008,625551,1308583
31005,617233,1306524
31601,577378,1307966
31406,516514,1309738
30710,503300,1311821
31401,523000,1308465
80905,480064,1310043
40707,451785,1307864
30109,492068,1309576
30803,540864,1311233
80903,477337,1309188
31108,560467,1305593
40701,440660,1302947
80317,503724,1307858
31409,512204,1307061
141210,539903,1304941
31405,507301,1307761
141203,543799,1306482
31105,548740,1304132
30804,547355,1309540
141207,538480,1309757
31206,604498,1304388
40706,467032,1307977
141204,533322,1307981
40704,445720,1304342
31003,647738,1300446
80708,497876,1309675
50511,472160,1305332
141202,534784,1302429
80710,488889,1297835
31104,557208,1301969
31205,593195,1302251
80911,475392,1304361
50507,469809,1301378
80316,504453,1304350
80704,497278,1306167
31101,553711,1304815
80304,501139,1306008
80914,475309,1306901
31407,518667,1303546
31103,569546,1305091
31102,566869,1301410
80904,484468,1300798
31605,556190,1327421
40808,432207,1322884
30706,529275,1325487
90501,283147,1307600
31606,560172,1321549
31612,583645,1324778
30501,550867,1326914
30403,594790,1322673
31311,514205,1329006
30615,539617,1326648
30106,497103,1327790
40702,459067,1326939
31006,618881,1321730
40803,446649,1325976
30601,545507,1326924
