CODEKHUM,mean_elev,med_elev
60810,14.93044232,15
50115,72.45282038,60
130706,75.79047815,62
10405,10.51681225,9
50305,15.98664321,16
21304,71.9679777,42
200204,4.635699001,5
10607,13.51622003,14
220504,172.9288335,100
80306,6.078627021,5
80113,7.219406042,5
190508,69.78711502,71
140908,5,5
50507,16.83350246,18
31107,15.69162,10
170303,28.04597003,28
140406,9.223026982,9
171205,17.94475347,18
210408,38.02726519,16
200107,4.635516281,5
30304,9.891456961,9
20506,4.818725714,5
200602,4.237942122,4
140311,5,5
31309,16.73388537,17
170711,10.58689024,9
141208,14.258508,14
210609,4.645807541,5
140708,5.195506372,5
141107,4.961254613,5
141008,16.05357547,17
210503,4.795848112,5
70712,17.88222606,10
140504,5.919647696,5
20404,23.5255739,22
50609,127.1249364,98
200108,4.472649573,4
50508,48.15897916,49
40205,8.852321418,6
60307,11.6344981,11
210610,4.622094416,5
40609,26.79815194,27
50306,39.9595774,40
150505,14.29563305,14
180207,58.18028401,13
210611,4.693947649,5
210106,4.64881171,5
140807,9.06279431,9
140312,5,5
80813,14.77789683,14
140505,4.319048002,4
210409,10.03806822,5
50608,56.7966474,53
120510,4.476809955,4
211007,7.16413812,6
140808,6.631295287,7
140809,12.38476947,13
20603,13.14597879,13
200706,5.232349246,5
60308,9.309701493,10
70713,44.37503222,31
200205,4.957388487,5
230202,50.3760471,23
70203,5.232410649,5
140506,5.829771061,6
20608,11.44413438,11
20612,20.6896911,20
141209,14.33621212,14
120508,7.217163355,6
50307,28.00696736,29
210504,5.000588172,5
30305,20.33125475,19
130303,76.3488122,76
150404,240.3278579,140
31406,9.126299849,9
80311,5.16669473,5
170710,8.602746672,7
130106,44.94490643,42
140810,5.959490363,6
200206,3.385303858,4
140104,4.579230185,5
130509,51.05056869,50
130502,49.50097975,50
50402,165.7523329,108
180208,27.76375447,21
180208,40.12389381,34.5
180208,35.25831169,19
180208,26.54946524,21
180208,100,100
180208,23.88086643,13
180208,29.91666667,19
180208,100,100
180208,19.2245345,12
210410,15.76449187,5
20807,12.83277155,12
140909,5.006218905,5
30707,7.655780164,8
170712,18.04592867,17
130508,47.65955892,39
130505,59.70998126,60
130602,178.1178822,95
30611,29.80803709,29
20609,23.89719336,22
130501,63.62458634,60
10406,12.97824724,13
130503,92.3106855,65
10208,14.22948692,14
140811,8.508094402,9
80117,13.04869714,13
20804,7.731214205,8
30708,8.394603563,8
80312,6.36079614,6
100211,17.62086196,18
50308,23.49325103,23
80707,4.727597581,5
80708,4.633530572,5
30909,11.22511653,12
81009,4.674310931,5
210802,5.039819992,5
30709,4.657519648,5
210803,6.438459246,6
31616,38.03039673,32
50203,29.78252788,30
150405,416.1189838,311
40610,18.46253071,19
150506,42.71108665,31
50701,30.61918872,29
80118,17.76710193,18
50706,24.73407566,24
80119,5.093437152,5
10808,21.7449787,21
170908,7.636879604,7
100406,87.38172774,78
200708,4.19335235,4
210505,4.679235168,5
110504,726.1926716,722
110504,474.7472626,440
130512,80.51525753,80
130511,77.72525797,72
130605,64.96327534,61
211008,8.533397948,7
20303,9.593027523,10
130507,72.24041329,43
140105,4.638537644,5
170605,13.80450896,14
210707,13.03167698,13
110203,129.744842,130
80709,4.56498479,5
90704,384.643485,393
120706,6.547251688,6
100306,41.22332656,48
20604,9.331565718,9
10209,11.11183306,11
170410,25.1799868,24
141211,14.56448143,14
31411,10.517732,10
140609,4.998615243,5
70613,4.928983771,5
70614,10.74682553,4
140910,5.14527816,5
170304,34.87779357,35
30612,12.06596491,12
31011,51.53567953,52
130510,100.0072077,77
130304,73.44478121,71
141210,11.7447479,12
150106,9.818263501,10
170305,46.08033948,38
31010,73.89296407,67
20210,15.10330732,15
50805,51.87495327,50
130504,98.42513552,95
60811,11.37317534,11
130506,45.42382252,43
60404,64.95535248,60
40508,10.19930197,9
50709,56.07112182,39
110302,586.8595474,588
170607,17.2013679,18
120514,7.445014976,8
171004,13.39303779,13
240201,125.2354952,121
60405,28.86451536,25
190509,84.14892628,81
200414,7.274057114,7
100212,45.21254242,40
30107,4.675353135,5
50708,24.6768823,25
100407,31.81840263,30
60503,28.41223302,29
200413,6.375272727,7
80612,4.69359515,5
200709,4.795232936,5
211009,4.601114757,5
170606,5.218967454,5
171008,7.589550854,8
10210,5.171533798,5
80710,5.005222511,5
30503,12.10160335,10
190404,69.25188304,70
180209,189.1655501,21
160606,250.9086518,257
60406,25.19240289,25
190104,78.30838228,80
70110,11.40156777,8
200207,4.461071838,5
30306,19.17655766,19
80412,4.715866152,5
60812,7.566380464,7
31311,9.982393315,10
80912,5.229756681,5
141009,6.544338592,5
210708,7.084023005,7
200109,4.586911832,5
210910,47.65797158,31
220404,42.23600839,42
