commGIS,elc_06,elc_07,elc_08,elc_09,elc_10,elc_11,elc_12
210908,0,0,0,0,0,0,0
50607,0,0,0,0,0,0,0
10605,0,0,0,0,0,0,0
240204,0,0,0,0,0,0,0
90803,0,1,1,1,1,1,1
10509,0,0,0,0,0,0,0
110202,0,0,0,0,0,0,0
20309,0,0,0,0,0,0,0
180205,0,0,0,0,0,0,0
160605,0,0,0,0,0,0,0
20808,0,0,0,0,0,0,0
20809,0,0,0,0,0,0,0
60304,0,0,0,0,0,0,0
230102,0,0,0,0,0,0,0
100405,1,1,1,1,1,1,1
20307,0,0,0,0,0,0,0
31506,0,1,1,1,1,1,1
190204,1,1,1,1,1,1,1
180206,0,0,0,0,0,0,0
180206,0,0,0,0,0,0,0
10206,0,0,0,0,0,0,0
190506,0,0,0,0,0,0,0
40506,0,0,0,0,0,0,0
100210,0,0,0,0,0,0,0
120303,0,0,0,0,0,0,0
120304,0,0,0,0,0,0,0
190205,1,1,1,1,1,1,1
120301,0,0,0,0,0,0,0
120302,0,0,0,0,0,0,0
10903,0,0,0,0,0,0,0
150308,0,0,0,0,0,0,0
210906,0,0,0,0,0,0,0
220405,0,0,0,0,0,0,0
10904,0,0,0,0,0,0,0
190507,0,0,0,0,0,0,0
220503,0,0,0,0,0,0,0
30610,0,0,0,0,0,0,0
