"Gross national income (GNI) per capita (2011 PPP $)"
"HDI Rank","Country","1990","","1991","","1992","","1993","","1994","","1995","","1996","","1997","","1998","","1999","","2000","","2001","","2002","","2003","","2004","","2005","","2006","","2007","","2008","","2009","","2010","","2011","","2012","","2013","","2014","","2015","","2016","","2017",""
"127"," Guatemala","4996","..","5105","..","5232","..","5318","..","5396","..","5535","..","5550","..","5670","..","5855","..","5926","..","5997","..","6046","..","6075","..","6081","..","6108","..","6159","..","6316","..","6552","..","6593","..","6471","..","6513","..","6606","..","6725","..","6844","..","6953","..","7108","..","7191","..","7278",".."
"175"," Guinea","1210","..","1176","..","1160","..","1171","..","1161","..","1165","..","1184","..","1207","..","1232","..","1279","..","1291","..","1306","..","1376","..","1398","..","1397","..","1409","..","1377","..","1474","..","1476","..","1431","..","1474","..","1520","..","1586","..","1617","..","1637","..","1664","..","1779","..","2067",".."
"177"," Guinea-Bissau","1335","..","1311","..","1328","..","1319","..","1334","..","1343","..","1370","..","1448","..","1166","..","1304","..","1320","..","1310","..","1296","..","1274","..","1286","..","1312","..","1325","..","1343","..","1338","..","1355","..","1394","..","1484","..","1420","..","1394","..","1448","..","1485","..","1540","..","1552",".."
"125"," Guyana","2113","..","1878","..","2318","..","2822","..","3231","..","3434","..","3979","..","4123","..","4156","..","4199","..","4323","..","4377","..","4408","..","4449","..","4681","..","4669","..","4800","..","5208","..","5380","..","5575","..","5881","..","6109","..","6417","..","6634","..","6851","..","7287","..","7278","..","7447","b"
"168"," Haiti","1904","..","1756","..","1525","..","1669","..","1631","..","1558","..","1723","..","1735","..","1739","..","1752","..","1744","..","1689","..","1647","..","1624","..","1547","..","1537","..","1569","..","1597","..","1587","..","1614","..","1506","..","1570","..","1600","..","1634","..","1663","..","1658","..","1681","..","1665",".."
"133"," Honduras","2894","..","2887","..","2937","..","3170","..","3048","..","3034","..","3073","..","3206","..","3231","..","3121","..","3213","..","3209","..","3234","..","3279","..","3381","..","3520","..","3663","..","3868","..","3932","..","3734","..","3787","..","3822","..","3859","..","3887","..","3899","..","4023","..","4096","..","4215",".."
"7"," Hong Kong, China (SAR)","26175","..","27273","..","28669","..","31307","..","32332","..","32678","..","31988","..","33624","..","32083","..","32598","..","34330","..","34822","..","34629","..","36489","..","39142","..","41166","..","44578","..","47452","..","49409","..","46785","..","49139","..","51454","..","51114","..","52725","..","53886","..","54608","..","55809","..","58420",".."
"45"," Hungary","16107","..","14012","..","..","..","14175","..","14589","..","14745","..","14697","..","14972","..","15613","..","16131","..","16994","..","17668","..","18480","..","19361","..","20201","..","21115","..","22040","..","21824","..","22175","..","21079","..","21248","..","21674","..","21580","..","22398","..","23034","..","23740","..","24337","..","25393",".."
"6"," Iceland","27854","..","27715","..","26626","..","26670","..","27188","..","27043","..","28218","..","29415","..","31171","..","32065","..","32806","..","33850","..","35109","..","35260","..","36609","..","37756","..","37805","..","40970","..","34282","..","33063","..","32525","..","34552","..","36095","..","40519","..","40787","..","42425","..","44971","..","45810",".."
"130"," India","1733","..","1712","..","1770","..","1821","..","1907","..","2015","..","2130","..","2177","..","2269","..","2428","..","2470","..","2549","..","2607","..","2763","..","2935","..","3157","..","3394","..","3684","..","3764","..","4026","..","4357","..","4595","..","4771","..","5010","..","5322","..","5691","..","6026","..","6353",".."
"116"," Indonesia","4293","..","4604","..","4850","..","5150","..","5515","..","5861","..","6243","..","6427","..","5351","..","5229","..","5430","..","5723","..","5942","..","6087","..","6256","..","6503","..","6811","..","7156","..","7528","..","7776","..","8210","..","8593","..","8995","..","9362","..","9679","..","10037","..","10437","..","10846",".."
"60"," Iran (Islamic Republic of)","11420","..","12563","..","12719","..","12721","..","12255","..","12539","..","12731","..","12670","..","12795","..","12533","..","13126","..","13051","..","13845","..","14862","..","15288","..","15589","..","16218","..","17385","..","17243","..","17157","..","17946","..","18194","..","16736","..","16490","..","16970","..","16537","..","18544","..","19130",".."
"120"," Iraq","10726","..","3540","..","4393","..","6337","..","5860","..","4650","..","6754","..","7934","..","10409","..","11822","..","11791","..","11712","..","10475","..","6974","..","10474","..","10851","..","11609","..","11523","..","12505","..","12498","..","12581","..","13247","..","14542","..","17582","..","17013","..","17105","..","18446","..","17789","b"
"4"," Ireland","19791","..","20215","..","20556","..","21102","..","22289","..","23921","..","25753","..","27658","..","29464","..","31338","..","33830","..","34433","..","35318","..","36956","..","38964","..","40550","..","42238","..","42575","..","40142","..","36551","..","37119","..","36955","..","37002","..","38912","..","42071","..","48551","..","50475","..","53754",".."
"22"," Israel","19798","..","20262","..","21044","..","21335","..","22307","..","23252","..","23756","..","23915","..","24348","..","24346","..","25124","..","25097","..","24775","..","24529","..","25389","..","26528","..","27556","..","28703","..","28529","..","28083","..","29170","..","30161","..","29827","..","30635","..","31469","..","31734","..","32273","..","32711",".."
"28"," Italy","30729","..","31124","..","31315","..","31104","..","31717","..","32742","..","33237","..","34007","..","34513","..","35174","..","36394","..","37046","..","37030","..","36907","..","37370","..","37661","..","38392","..","38642","..","37608","..","35688","..","36128","..","36251","..","35178","..","34161","..","33946","..","34115","..","34733","..","35299",".."
