,(Intercept),agr_gdp.lag2,dev_agr.lag2,dev_env.lag2,fdi.lag2,for_rem.lag2,gdp.lag2,gdp_gr.lag2,ind_gdp.lag2,pop_den.lag2,time,df,logLik,AICc,delta,weight
840,-347.2105917,-33.94764784,-0.359053437,-0.078409278,NA,NA,NA,2.065364152,NA,714.155884,1.105918079,8,-117.8941994,267.7883988,92.8492663,4.52E-21
655,700.9784815,NA,-0.119483552,2.560144717,-0.628464672,NA,NA,NA,-25.55658266,NA,1.317518521,7,-121.3103177,267.8206353,92.88150285,4.45E-21
253,-6004.988862,NA,NA,-2.632625025,0.021720878,0.074642577,-9.531897063,14.03269201,133.9937482,NA,NA,8,-117.9385299,267.8770598,92.93792733,4.33E-21
297,-652.6270047,NA,NA,NA,-0.947192916,NA,-6.232689003,NA,NA,1245.450825,NA,5,-126.4394133,267.8788267,92.93969424,4.32E-21
278,-9299.96977,17.64231439,NA,-2.138083901,NA,0.109173352,NA,NA,NA,-67.96048754,NA,6,-124.1811143,267.9985922,93.05945977,4.07E-21
159,-7955.716271,NA,-0.351727774,-1.194275981,-0.393137607,0.093365414,NA,NA,69.47223096,NA,NA,7,-121.4046096,268.0092192,93.07008674,4.05E-21
995,-231.4575083,NA,-0.417861245,NA,NA,NA,-3.045857438,11.92671141,32.48850612,719.7800187,0.953793928,8,-118.0059103,268.0118205,93.07268805,4.04E-21
683,752.0487883,NA,-0.159425278,NA,-0.385988072,NA,-2.750166121,NA,12.06993074,NA,1.202853765,7,-121.4067579,268.0135158,93.07438334,4.04E-21
86,-9115.084469,17.57104854,NA,-2.125577539,NA,0.106200736,NA,-0.333781612,NA,NA,NA,6,-124.1897141,268.0157918,93.07665931,4.04E-21
739,810.7752687,NA,-0.320046893,NA,NA,NA,-6.292622023,18.65296318,48.38773946,NA,1.120358381,7,-121.4117348,268.0234696,93.08433715,4.02E-21
219,-7802.682114,NA,-0.395010675,NA,-0.522147979,0.09193833,NA,5.673138744,57.4161588,NA,NA,7,-121.4240323,268.0480646,93.10893212,3.97E-21
191,-6328.340809,NA,-0.272285977,-2.828767795,0.068344547,0.077633398,-8.074448733,NA,134.1875587,NA,NA,8,-118.0512715,268.1025429,93.16341048,3.86E-21
411,-7629.18339,NA,-0.346329774,NA,-0.485776424,0.088801696,NA,NA,62.13149541,81.40992886,NA,7,-121.4597753,268.1195506,93.18041811,3.83E-21
341,-9202.578686,NA,NA,-1.902210314,NA,0.107954725,NA,-2.459033822,NA,-71.45082013,NA,6,-124.2432466,268.1228568,93.18372437,3.83E-21
314,-6935.321511,-8.032966095,NA,NA,-0.557384024,0.086081493,-5.191239142,NA,NA,-92.35106649,NA,7,-121.5176037,268.2352074,93.29607492,3.62E-21
317,-6988.863342,NA,NA,0.13583688,-0.580205963,0.086440238,-4.873956265,NA,NA,-76.81795033,NA,7,-121.5321639,268.2643278,93.32519534,3.56E-21
62,-6702.899707,-6.719239082,NA,0.213856011,-0.58244741,0.082218981,-5.008844504,NA,NA,NA,NA,7,-121.5351741,268.2703482,93.33121578,3.55E-21
871,-269.3540147,NA,-0.477247905,-1.04134969,NA,NA,-2.111369459,13.21954579,NA,744.9757716,1.011911678,8,-118.1579379,268.3158759,93.3767434,3.47E-21
934,-131.5202352,-49.2629713,NA,0.674656953,NA,NA,-2.041244848,NA,-8.151156939,586.1670773,1.119192774,8,-118.2019288,268.4038576,93.4647252,3.32E-21
870,-145.1879679,-45.77548732,NA,0.620554044,NA,NA,-2.074031111,-1.177669893,NA,596.136716,1.10237153,8,-118.2074877,268.4149754,93.47584298,3.31E-21
338,-9273.723209,11.05354105,NA,NA,NA,0.108693246,NA,-2.529007352,NA,-63.85767072,NA,6,-124.3918173,268.4199982,93.48086573,3.30E-21
289,-813.065931,NA,NA,NA,NA,NA,-8.651413967,NA,NA,1355.740589,NA,4,-128.698446,268.473815,93.53468255,3.21E-21
994,-144.3812194,-45.92551532,NA,NA,NA,NA,-2.062252996,-0.613152487,-3.811513288,598.5916218,1.102909481,8,-118.239482,268.478964,93.53983158,3.20E-21
92,-7733.652898,33.25587161,-0.526339838,NA,-0.805997427,0.092432336,NA,17.22684228,NA,NA,NA,7,-121.6521796,268.5043592,93.56522675,3.16E-21
935,-322.2878154,NA,-0.313848624,-0.580801538,NA,NA,-1.666976344,NA,30.5428849,752.2473767,0.990836628,8,-118.2560039,268.5120077,93.57287527,3.15E-21
967,-414.4750475,NA,-0.399018974,-0.698520306,NA,NA,NA,6.237953212,14.40505396,788.6278384,1.059346662,8,-118.2876253,268.5752505,93.63611809,3.05E-21
257,-1659.10098,NA,NA,NA,NA,NA,NA,NA,NA,1778.365685,NA,3,-130.4354721,268.5852299,93.64609744,3.04E-21
966,-242.0441624,-54.41237641,NA,1.068390802,NA,NA,NA,-5.77459429,-24.82825539,619.4765878,1.203724735,8,-118.2974743,268.5949487,93.65581622,3.02E-21
741,778.6367226,NA,NA,-0.2693443,NA,NA,-5.64354067,11.86849075,49.5417585,NA,1.161674091,7,-121.7014669,268.6029337,93.6638013,3.01E-21
443,-7009.316591,NA,-0.147752277,NA,-0.061076511,0.08935859,-8.145624514,NA,128.024245,-297.1635605,NA,8,-118.3344082,268.6688165,93.72968404,2.91E-21
615,794.2009215,NA,-0.359293808,-0.710605993,NA,NA,-4.751488397,18.95538369,NA,NA,1.236893451,7,-121.7492626,268.6985253,93.75939284,2.87E-21
116,-6494.703727,-22.39739873,-0.571704849,NA,NA,0.080552323,-8.474610198,22.99968142,NA,NA,NA,7,-121.7519543,268.7039086,93.76477616,2.86E-21
407,-8579.223496,NA,-0.353836872,-2.662488439,NA,0.099994062,NA,NA,96.41296534,-35.92319298,NA,7,-121.8292728,268.8585456,93.91941314,2.65E-21
347,-6943.735307,NA,-0.569994695,NA,-0.776865151,0.080219721,NA,13.29285067,NA,227.6859062,NA,7,-121.8309266,268.8618532,93.9227207,2.64E-21
215,-8480.151898,NA,-0.365023176,-2.682422696,NA,0.098416906,NA,0.266974975,95.90965983,NA,NA,7,-121.8320986,268.8641973,93.92506481,2.64E-21
371,-7128.485575,NA,-0.534047919,NA,NA,0.089435571,-8.030375756,24.24732469,NA,-135.3246366,NA,7,-121.8350983,268.8701966,93.9310641,2.63E-21
221,-8089.831596,NA,NA,-0.682942395,-0.379569264,0.094641393,NA,-2.945423802,75.26500747,NA,NA,7,-121.8396405,268.879281,93.94014851,2.62E-21
413,-8226.30623,NA,NA,-0.709488741,-0.393109567,0.096917932,NA,NA,73.55542787,-53.77890232,NA,7,-121.8504659,268.9009318,93.96179932,2.59E-21
