CODEKHUM,KHUM_NAME,perc_change_dir,perc_change
100209,Kracheh,#DIV/0!,#DIV/0!
60108,Chong Doung,0,0
31506,Ou Mlu,0,0
31503,Dang Kdar,0,0
60110,Kokir Thum,0,0
40103,Chak,#DIV/0!,#DIV/0!
40104,Khon Rang,#DIV/0!,#DIV/0!
40105,Kampong Preah Kokir,#DIV/0!,#DIV/0!
100211,Roka Kandal,0,0
40104,Khon Rang,0,0
110504,Romonea,0,0
100301,Chambak,-9.058614565,9.058614565
100305,Preaek Prasab,-8.93970894,8.93970894
100306,Ruessei Kaev,-8.620689655,8.620689655
110302,Saen Monourom,1.918024172,-1.918024172
40402,Dar,0,0
40110,Ponley,#DIV/0!,#DIV/0!
150404,Prongil,0,0
100201,Bos Leav,0,0
100213,Thma Andaeuk,0,0
40105,Kampong Preah Kokir,-100,100
150603,,-0.881750905,0.881750905
31501,Areaks Tnaot,0,0
40107,Phsar,0,0
60104,Boeng,0,0
40109,Popel,#DIV/0!,#DIV/0!
60103,Baray,0,0
40108,Pech Changvar,0,0
150604,,-0.103722485,0.103722485
110105,Srae Preah,2.695567598,-2.695567598
40106,Melum,0,0
60107,Chhuk Khsach,#DIV/0!,#DIV/0!
40405,Pou,0,0
31504,Khpob Ta Nguon,-4.545454545,4.545454545
100206,Kaoh Chraeng,#DIV/0!,#DIV/0!
150310,Svay Sa,0,0
100501,Khsuem,-6.093017666,6.093017666
150605,,-0.128444652,0.128444652
150304,Chheu Tom,0,0
30208,Ta Prok,#DIV/0!,#DIV/0!
100308,Ta Mau,-13.10160428,13.10160428
100303,Kampong Kor,0,0
40407,Samraong Saen,-59.25925926,59.25925926
30202,Chamkar Andoung,0,0
150402,Leach,0,0
40101,Anhchanh Rung,0,0
30204,Lvea Leu,0,0
30205,Spueu,0,0
31510,Preaek Kak,0,0
60118,Treal,-7.567567568,7.567567568
40408,Svay Rumpear,0,0
40612,Svay Chrum,0,0
100105,Kanhchor,0,0
40608,Prasneb,0,0
40806,Krang Skear,0,0
31505,Me Sar Chrey,#DIV/0!,#DIV/0!
150406,Santreae,0,0
150405,Rokat,0,0
30203,Cheyyou,0,0
31507,Peam Kaoh Sna,0,0
40409,Trangel,0,0
31508,Preah Andoung,#DIV/0!,#DIV/0!
60115,Sralau,-1.818181818,1.818181818
40602,Banteay Preal,0,0
30206,Svay Teab,0,0
40301,Phsar Chhnang,#DIV/0!,#DIV/0!
40304,Khsam,#DIV/0!,#DIV/0!
60112,Andoung Pou,0,0
110104,Srae Khtum,-0.178810907,0.178810907
31512,Soupheas,0,0
40403,Kampong hau,#DIV/0!,#DIV/0!
30905,Krouch Chhmar,0,0
40607,Pongro,0,0
40204,Peam Chhkaok,0,0
100108,Preaek Saman,-11.65048544,11.65048544
60109,Chrolong,0,0
30911,Trea,0,0
30207,Ta Ong,0,0
30910,Svay Khleang,0,0
100304,Kaoh Ta Suy,#DIV/0!,#DIV/0!
30907,Peus Pir,0,0
60113,Pongro,0,0
60106,Chranieng,#DIV/0!,#DIV/0!
150601,,-0.585417775,0.585417775
100101,Chhloung,0,0
30906,Peus Muoy,0,0
40611,Srae Thmei,0,0
31513,Tuol Preah Khleang,0,0
40302,Kampong Chhnang,#DIV/0!,#DIV/0!
60114,Sou Young,#DIV/0!,#DIV/0!
100103,Han Chey,0,0
30111,Trab,0,0
100107,Pongro,0,0
100106,Khsach Andaet,0,0
30909,Roka Khnaor,0,0
30902,Chumnik,0,0
100102,Damrei Phong,-14.85875706,14.85875706
40303,Ph'er,#DIV/0!,#DIV/0!
40203,Kampong Os,#DIV/0!,#DIV/0!
40606,Krang Leav,#DIV/0!,#DIV/0!
60116,Svay Phleung,#DIV/0!,#DIV/0!
30108,Sandaek,0,0
