CommCode,Commune,2010,diffPix,2011,diffPix,2012,diffPix,2013,diffPix,2014,diffPix,2015,diffPix,,,
70108,Phnum Kong,6,na,6,0,6,0,6,0,6,0,6,0,,,
70111,Tani,5,na,5,0,5,0,5,0,5,0,5,0,,,
70210,Trapeang Sala Khang Kaeu,3,na,3,0,3,0,3,0,3,0,3,0,,,
70213,Tuk Meas Khang Lech,11,na,11,0,11,0,11,0,11,0,11,0,,,
70302,Ta Kaen,1566,na,1566,0,1566,0,1566,0,1566,0,1566,0,,,
70308,Lbaeuk,56,na,56,0,56,0,56,0,56,0,56,0,,,
70309,Trapeang Plang,3876,na,3821,55,3821,0,3821,0,3821,0,3821,0,,,
70311,Nareay,4,na,4,0,4,0,4,0,4,0,4,0,,,
70401,Chres,10,na,10,0,10,0,10,0,10,0,10,0,,,
70402,Chumpu Voan,24,na,24,0,24,0,24,0,24,0,24,0,,,
70403,Snay Anhchet,154,na,154,0,154,0,154,0,154,0,154,0,,,
70404,Srae Chaeng,291,na,291,0,291,0,291,0,291,0,291,0,,,
70405,Srae Knong,211,na,211,0,211,0,211,0,211,0,211,0,,,
70406,Srae Samraong,94,na,94,0,94,0,94,0,94,0,94,0,,,
70407,Trapeang Reang,55,na,55,0,55,0,55,0,55,0,55,0,,,
70507,Srae Chea Khang Tboung,1,na,1,0,1,0,1,0,1,0,1,0,,,
70510,L'ang,38,na,38,0,38,0,38,0,38,0,38,0,,,
70602,Boeng Sala Khang Tboung,5,na,5,0,5,0,5,0,5,0,5,0,,,
70606,Kampong Trach Khang Lech,2,na,2,0,2,0,2,0,2,0,2,0,,,
70615,Svay Tong Khang Cheung,4,na,4,0,4,0,4,0,4,0,4,0,,,
70616,Svay Tong Khang Tboung,11,na,11,0,11,0,11,0,11,0,11,0,,,
70701,Boeng Tuk,97,na,97,0,97,0,97,0,97,0,97,0,,,
70703,Kampong Kraeng,6,na,6,0,6,0,6,0,6,0,6,0,,,
70704,Kampong Samraong,1,na,1,0,1,0,1,0,1,0,1,0,,,
70705,Kandal,7,na,7,0,7,0,7,0,7,0,7,0,,,
70707,Kaoh Touch,444,na,444,0,444,0,457,-13,457,0,457,0,,,
70708,Koun Satv,6,na,6,0,6,0,6,0,6,0,6,0,,,
70709,Meakprang,187,na,187,0,187,0,187,0,187,0,187,0,,,
70711,Preaek Tnaot,551,na,551,0,562,-11,568,-6,570,-2,570,0,,,
70713,Prey Thnang,12,na,12,0,12,0,12,0,12,0,12,0,,,
70715,Stueng Kaev,242,na,242,0,242,0,242,0,242,0,242,0,,,
70716,Thmei,10,na,10,0,10,0,10,0,10,0,10,0,,,
70717,Trapeang Pring,4,na,4,0,4,0,4,0,4,0,4,0,,,
70804,Andoung Khmaer,11,na,11,0,11,0,11,0,11,0,11,0,,,
70805,Traeuy Kaoh,3,na,3,0,3,0,3,0,3,0,3,0,,,
80101,Ampov Prey,6,na,6,0,6,0,6,0,6,0,6,0,,,
80104,Boeng Khyang,4,na,4,0,4,0,4,0,4,0,4,0,,,
80107,Kandaok,11,na,11,0,11,0,11,0,11,0,11,0,,,
80116,Preaek Slaeng,15,na,15,0,15,0,15,0,15,0,15,0,,,
80202,Chheu Teal,14,na,14,0,14,0,14,0,14,0,14,0,,,
80203,Dei Edth,13,na,13,0,13,0,13,0,13,0,13,0,,,
80205,Kbal Kaoh,8,na,8,0,8,0,8,0,8,0,8,0,,,
80206,Kokir,10,na,10,0,10,0,10,0,10,0,10,0,,,
80207,Kokir Thum,1,na,1,0,1,0,1,0,1,0,1,0,,,
80208,Phum Thum,9,na,9,0,9,0,9,0,9,0,9,0,,,
80210,Preaek Thmei,7,na,7,0,7,0,7,0,7,0,7,0,,,
80211,Samraong Thum,6,na,6,0,6,0,6,0,6,0,6,0,,,
80304,Kaoh Chouram,2,na,2,0,2,0,2,0,2,0,2,0,,,
80306,Preah Prasab,1,na,1,0,1,0,1,0,1,0,1,0,,,
80307,Preaek Ampil,4,na,4,0,4,0,4,0,4,0,4,0,,,
80308,Preaek Luong,4,na,4,0,4,0,4,0,4,0,4,0,,,
80309,Preaek Ta Kov,7,na,7,0,7,0,7,0,7,0,7,0,,,
80403,Kampong Kong,4,na,4,0,4,0,4,0,4,0,4,0,,,
80407,Leuk Daek,22,na,22,0,22,0,22,0,22,0,22,0,,,
80501,Kampong Phnum,36,na,36,0,36,0,36,0,36,0,36,0,,,
80602,Barong,13,na,13,0,13,0,13,0,13,0,13,0,,,
80613,Sarikakaev,12,na,12,0,12,0,12,0,12,0,12,0,,,
80701,Bak Khaeng,14,na,14,0,14,0,14,0,14,0,14,0,,,
80702,Kaoh Dach,1,na,1,0,1,0,1,0,1,0,1,0,,,
80709,Ruessei Chrouy,3,na,3,0,3,0,3,0,3,0,3,0,,,
80710,Sambuor Meas,36,na,36,0,36,0,36,0,36,0,36,0,,,
80812,Ponsang,2,na,2,0,2,0,2,0,2,0,2,0,,,
80904,Kampong Os,2,na,2,0,2,0,2,0,2,0,2,0,,,
80908,Ponhea Pon,4,na,4,0,4,0,4,0,4,0,4,0,,,
80911,Phsar Daek,7,na,7,0,7,0,7,0,7,0,7,0,,,
80912,Samraong,1,na,1,0,1,0,1,0,1,0,1,0,,,
81009,Roka Khpos,15,na,15,0,15,0,15,0,15,0,15,0,,,
81010,S'ang Phnum,15,na,15,0,15,0,15,0,15,0,15,0,,,
81011,Setbou,15,na,15,0,15,0,15,0,15,0,15,0,,,
81013,Svay Rolum,1,na,1,0,1,0,1,0,1,0,1,0,,,
81014,Ta Lon,2,na,2,0,2,0,2,0,2,0,2,0,,,
81015,Traeuy Sla,5,na,5,0,5,0,5,0,5,0,5,0,,,
90101,Andoung Tuek,3508,na,3508,0,3452,56,3334,118,3284,50,3284,0,,,
90102,Kandaol,603,na,603,0,603,0,603,0,605,-2,605,0,,,
