,(Intercept),agr_gdp,dev_agri,dev_env,fdi,for_rem,gdp,gdp_gr,ind_gdp,pop_den,time,df,logLik,AICc,delta,weight
1013,-6438.761599,NA,NA,0.259339116,NA,0.085617029,0.587879467,-2.712217391,3.876605297,-592.9055118,1.073487665,9,-88.83224493,213.6644899,16.7858379,6.43E-05
856,-6284.819858,-5.836372841,0.04449777,0.361178393,NA,0.084252968,NA,-2.303856474,NA,-601.4871849,1.064682547,9,-88.86316266,213.7263253,16.84767336,6.23E-05
893,-6459.591311,NA,NA,0.253538902,0.013484896,0.085673258,0.690843347,-3.430728031,NA,-582.5020711,1.083708694,9,-88.96671206,213.9334241,17.05477215,5.62E-05
886,-6457.854845,0.431838148,NA,0.295149369,NA,0.085696617,0.706126467,-3.233060346,NA,-584.6507377,1.082278534,9,-89.03980425,214.0796085,17.20095653,5.22E-05
1010,-6452.674885,2.484873177,NA,NA,NA,0.085815021,0.5946596,-2.262689651,5.706083089,-594.9358023,1.07236299,9,-89.1497408,214.2994816,17.42082964,4.68E-05
824,-6395.843753,-2.304873489,0.035433977,0.24398027,NA,0.08532011,0.346278187,NA,NA,-597.5600754,1.060576608,9,-89.23996656,214.4799331,17.60128116,4.27E-05
831,-6410.637602,NA,0.035239406,0.267269873,-0.01006219,0.08545234,0.429839074,NA,NA,-595.3030855,1.063771134,9,-89.27833042,214.5566608,17.67800887,4.11E-05
890,-6470.781934,0.728893538,NA,NA,0.023927507,0.085792619,0.6858192,-3.298039202,NA,-581.8928495,1.084588127,9,-89.30400208,214.6080042,17.72935219,4.01E-05
860,-6305.695053,-5.137448935,0.039604389,NA,0.024592062,0.084431604,NA,-2.267957219,NA,-598.5983874,1.06756072,9,-89.35875625,214.7175125,17.83886054,3.80E-05
986,-6332.271301,-0.273143793,NA,NA,0.04454635,0.08472479,NA,-1.473091254,10.76565387,-602.3845039,1.063843566,9,-89.36715692,214.7343138,17.85566187,3.76E-05
989,-6331.607785,NA,NA,0.011675186,0.04409237,0.084715424,NA,-1.469065259,10.83693179,-602.0440359,1.06427617,9,-89.36773784,214.7354757,17.85682371,3.76E-05
954,-6405.192337,1.898148119,NA,NA,0.028620299,0.085453576,0.26614612,NA,10.10291344,-601.5957968,1.059696215,9,-89.43122423,214.8624485,17.98379649,3.53E-05
957,-6393.164527,NA,NA,0.037176584,0.025835902,0.085357042,0.228061272,NA,9.158566648,-603.8215475,1.05739205,9,-89.47515242,214.9503048,18.07165287,3.38E-05
