fid,KHUM50_,KHUM50_ID,CODEKHUM,KHUM_NAME,PERIMETER,AREA,HISTO_50,HISTO_60,HISTO_61,HISTO_62,HISTO_70,HISTO_80,HISTO_90,HISTO_100
259,260,10211,10211,Soea,88497.6,188346363,0,0,0,0,0,0,0,0
260,261,10210,10210,Sambuor,65938.44,76687135.1,0,0,0,0,0,0,0,7
261,262,130511,130511,Romtom,100414.01,354251652,273,3022,0,0,0,0,0,481
262,263,171101,171101,Chan Sar,51706.39,93163499.73,55,0,0,0,0,0,0,0
263,264,190503,190503,Kang Cham,80467.86,206525874.1,527,245,0,0,0,0,0,1072
264,265,130506,130506,Ruos Roan,27039.52,35713910.05,10,131,0,0,0,0,0,3
265,266,171108,171108,Popel,47676.57,75084959.28,52,0,0,0,0,0,0,0
266,267,130605,130605,Ronak Ser,99197.14,539810134.8,766,4073,0,0,0,0,0,1014
267,268,190206,190206,Siem Bouk,156693.54,1038413839,9151,413,0,0,0,0,0,1731
268,269,170710,170710,Puok,53926.7,59172053.38,0,0,0,0,0,0,0,46
269,270,171003,171003,Kouk Chak,37238.75,38083509.92,43,0,0,0,0,0,0,17
270,271,171005,171005,Nokor Thum,30828.21,54867383.87,168,0,0,0,0,0,0,40
271,272,130508,130508,Rieb Roy,116031.4,342133111.2,691,1763,0,0,0,0,0,877
272,273,190202,190202,Kaoh Sampeay,34272.11,64254324.54,50,19,0,0,0,0,0,41
273,274,170705,170705,Khnat,23565.91,23564192.52,0,0,0,0,0,0,0,0
274,275,170903,170903,Ballangk,29899.1,42556306.05,0,0,0,0,0,0,0,0
275,276,60602,60602,Dang Kambet,117675.11,450711852.1,3831,132,0,0,0,0,0,783
276,277,130501,130501,Robieb,44289.16,71730784.61,46,228,0,0,0,0,0,4
277,278,170714,170714,Tuek Vil,31064.44,45204091.98,0,0,0,0,0,0,0,15
278,279,10207,10207,Phnum Touch,46699.81,47618132.31,0,0,0,0,0,0,0,0
279,280,170901,170901,Ampil,30203.91,55550685.14,0,0,0,0,0,0,0,0
280,281,170713,170713,Samraong Yea,42271.04,46609006.52,0,0,0,0,0,0,0,10
281,282,170709,170709,Pou Treay,41812.27,74865230.46,0,1,0,0,0,0,0,20
282,283,170406,170406,Kouk Thlok Leu,90639.37,212584679.1,127,96,0,0,0,0,0,0
283,284,190207,190207,Srae Krasang,42763.44,107522558.6,86,11,0,0,0,0,0,62
284,285,20404,20404,Prey Khpos,76603.6,186182136.3,6,0,0,0,0,0,0,0
285,286,110203,110203,Roya,243069.01,2219353040,3011,11877,2,0,18,0,0,9737
286,287,20207,20207,Boeng Pring,66107.57,81042489.95,0,0,0,0,0,0,0,8
287,288,130507,130507,Rotanak,50109.98,93914177.8,180,226,0,0,0,0,0,135
288,289,171110,171110,Ta Yaek,49363.5,83443132.32,0,0,0,0,0,0,0,0
289,290,100406,100406,Roluos Mean Chey,182916.78,825807483.6,1532,3229,0,0,10,0,0,3345
290,291,170409,170409,Pongro Leu,102309.87,383480260.6,1791,566,0,0,0,0,0,239
