"","(Intercept)","corn_med","cpi","for_prod","nfi","rice_med","rub_med","sug_med","time","df","logLik","AICc","delta","weight"
"2",0.00133750942232224,-5.8944364994145e-07,NA,NA,NA,NA,NA,NA,NA,3,-166.282663398377,339.898660130088,5.76921564733232,0.0108046180531346
"65",0.00133433958584747,NA,NA,NA,NA,NA,NA,3.91466652732284e-07,NA,3,-166.282831239245,339.898995811824,5.76955132906772,0.0108028047488429
"3",0.00133034780840551,NA,2.0323605262278e-07,NA,NA,NA,NA,NA,NA,3,-166.2853912977,339.904115928734,5.77467144597824,0.0107751843072627
"17",0.00133487336887939,NA,NA,NA,NA,4.03465664641352e-08,NA,NA,NA,3,-166.285557131693,339.904447596719,5.77500311396318,0.010773397563585
"147",0.00179345152042665,NA,3.74561590479375e-06,NA,NA,-2.6972587011825e-06,NA,NA,-1.98953495889862e-06,5,-163.157199010852,340.064398021705,5.93495353894889,0.00994534591434489
"149",0.0018763477646267,NA,NA,4.95540439611041e-10,NA,-2.40651661391732e-06,NA,NA,-1.82701277483157e-06,5,-163.162948428205,340.075896856411,5.94645237365506,0.00988833003107555
"195",0.00179538240971831,NA,3.22028951862254e-06,NA,NA,NA,NA,-3.50610854531289e-06,-1.99371301664533e-06,5,-163.173840986702,340.097681973404,5.96823749064845,0.00978120530810738
"209",0.00187803193099836,NA,NA,NA,NA,-1.495729632019e-06,NA,-2.23002230054494e-06,-1.98853446853305e-06,5,-163.178325392388,340.106650784776,5.97720630201985,0.00973744061806504
"153",0.0018800808795419,NA,NA,NA,1.30333444706811e-06,-2.23994921803547e-06,NA,NA,-1.87262762100979e-06,5,-163.20523398867,340.160467977339,6.03102349458345,0.00947891365762685
"201",0.00186493370827531,NA,NA,NA,7.89571813622366e-07,NA,NA,-2.76255875775242e-06,-1.90093487110129e-06,5,-163.234811323905,340.219622647811,6.09017816505519,0.0092026582394191
"177",0.00185460416763822,NA,NA,NA,NA,-1.84037108533648e-06,-8.43718278478441e-08,NA,-1.87609757822356e-06,5,-163.240699397776,340.231398795553,6.10195431279698,0.00914863152064187
"197",0.0018508808704164,NA,NA,1.1284456562465e-10,NA,NA,NA,-2.75572451783171e-06,-1.88778764660051e-06,5,-163.244214673329,340.238429346658,6.10898486390238,0.00911652801930241
"146",0.00184897770263342,9.101662779503e-07,NA,NA,NA,-2.3163138381524e-06,NA,NA,-1.88858674221838e-06,5,-163.246500094469,340.243000188938,6.11355570618184,0.0090957167038147
"225",0.00185272371326457,NA,NA,NA,NA,NA,-1.5035299517713e-08,-2.87735937903064e-06,-1.9218156487743e-06,5,-163.248857735634,340.247715471267,6.11827098851131,0.00907429752697902
"194",0.00185269046758336,-1.42020358288566e-07,NA,NA,NA,NA,NA,-2.92139854045712e-06,-1.9250140674057e-06,5,-163.248987721185,340.24797544237,6.11853095961436,0.00907311807606773
"163",0.00176007498224721,NA,3.49603977871621e-06,NA,NA,NA,-2.80328951703551e-07,NA,-1.80456879647845e-06,5,-163.265830410139,340.281660820278,6.15221633752202,0.00892158208946046
"165",0.00183301549748078,NA,NA,3.87145485846415e-10,NA,NA,-2.16218814416369e-07,NA,-1.67636628782496e-06,5,-163.281503643508,340.313007287016,6.18356280426013,0.008782842143242
"132",0.00175265248967986,-3.60752362445464e-06,3.4013665790539e-06,NA,NA,NA,NA,NA,-1.82214957519827e-06,5,-163.301847460594,340.353694921187,6.2242504384314,0.00860597082814429
"141",0.00183754534977397,NA,NA,3.9604474701539e-10,1.62315563679985e-06,NA,NA,NA,-1.62296393384323e-06,5,-163.302559448081,340.355118896162,6.22567441340664,0.00859984566537421
