,(Intercept),agr_gdp,dev_agri,dev_env,fdi,gdp,gdp_gr,pop_den,time,df,logLik,AICc,delta,weight
17,990.3375006,NA,NA,NA,NA,-7.551258008,NA,NA,NA,3,-151.5322595,310.564519,25.84263773,5.18E-07
30,816.5943945,-247.2974383,NA,2.460257158,-0.298826717,-10.3192679,NA,NA,NA,6,-146.0796499,310.6208383,25.89895699,5.04E-07
122,1234.534311,-208.678244,NA,NA,-0.443112378,-14.43553752,62.35944478,-158.9412856,NA,7,-143.6719094,310.6771521,25.95527081,4.90E-07
60,986.4811638,-201.4242204,0.093491851,NA,-0.415485381,-13.26398287,58.44223238,NA,NA,7,-143.6999222,310.7331778,26.01129653,4.76E-07
62,988.0745282,-201.5675834,NA,1.048202294,-0.463342604,-13.24421781,59.76355205,NA,NA,7,-143.7079043,310.7491419,26.02726063,4.72E-07
90,734.4215861,-242.8961626,NA,NA,-0.185011715,-10.21298652,NA,59.06932473,NA,6,-146.1835866,310.8287117,26.10683039,4.54E-07
12,551.0905063,-193.9190472,0.352943382,NA,-0.589272248,NA,NA,NA,NA,5,-148.2920754,310.8698651,26.14798379,4.45E-07
86,702.3371397,-252.7451325,NA,1.32742886,NA,-10.66511417,NA,73.44028767,NA,6,-146.2082075,310.8779534,26.15607211,4.43E-07
14,550.9510534,-199.6091413,NA,3.864857958,-0.736021747,NA,NA,NA,NA,5,-148.3969025,311.0795192,26.35763795,4.01E-07
73,-277.1873621,NA,NA,NA,-0.615487511,NA,NA,787.0940651,NA,4,-150.2746246,311.2159158,26.49403451,3.74E-07
113,401.7734397,NA,NA,NA,NA,-9.448118555,69.73519227,489.0867786,NA,5,-148.4781548,311.2420238,26.52014256,3.69E-07
105,-174.6336427,NA,NA,NA,-0.855458479,NA,56.24338614,726.8705693,NA,5,-148.5656792,311.4170726,26.69519134,3.38E-07
116,1099.061495,-227.1475832,0.101269333,NA,NA,-14.77767032,54.4790528,-91.71324183,NA,7,-144.0655975,311.4645282,26.74264695,3.30E-07
56,962.7270716,-220.8438927,0.100642769,-0.342037512,NA,-14.16139848,53.9882064,NA,NA,7,-144.0826048,311.4985429,26.77666161,3.25E-07
118,1123.465458,-225.3413392,NA,-0.586704413,NA,-15.01338772,57.46207955,-100.9335377,NA,7,-144.094116,311.5215654,26.79968408,3.21E-07
67,-528.980037,NA,0.379217526,NA,NA,NA,NA,937.2348828,NA,4,-150.4606449,311.5879565,26.86607523,3.11E-07
36,502.2133623,-198.0511574,0.265840569,NA,NA,NA,19.40184809,NA,NA,5,-148.6670281,311.6197705,26.89788919,3.06E-07
53,1182.567625,NA,NA,-3.572009082,NA,-12.8620585,80.57869507,NA,NA,5,-148.6858766,311.6574676,26.93558626,3.00E-07
3,730.1300006,NA,0.38962693,NA,NA,NA,NA,NA,NA,3,-152.18307,311.8661401,27.14425877,2.70E-07
81,-209.9091763,NA,NA,NA,NA,-3.274098817,NA,784.6962729,NA,4,-150.6166282,311.899923,27.1780417,2.66E-07
8,476.3920964,-216.3771322,0.359867081,1.588675655,NA,NA,NA,NA,NA,5,-148.8167996,311.9193136,27.19743226,2.63E-07
38,505.6955143,-196.3689515,NA,0.208584009,NA,NA,24.10340859,NA,NA,5,-148.8312629,311.9482402,27.22635886,2.59E-07
51,1163.871053,NA,0.059416098,NA,NA,-12.5250725,76.10013252,NA,NA,5,-148.8919924,312.0696992,27.34781787,2.44E-07
69,-527.0543992,NA,NA,-0.928783215,NA,NA,NA,938.8382716,NA,4,-150.7499869,312.1666404,27.44475909,2.33E-07
5,734.9827761,NA,NA,-1.313124917,NA,NA,NA,NA,NA,3,-152.4308953,312.3617907,27.63990939,2.11E-07
25,992.0860428,NA,NA,NA,-0.739545201,-5.923167603,NA,NA,NA,4,-150.8522125,312.3710916,27.64921027,2.10E-07
106,-176.1947629,-142.0950066,NA,NA,-0.593749371,NA,36.95774183,589.4693079,NA,6,-147.0195885,312.5007154,27.77883409,1.97E-07
11,801.0608753,NA,0.396753064,NA,-0.915634287,NA,NA,NA,NA,4,-151.1200332,312.9067331,28.18485184,1.61E-07
19,986.7562462,NA,0.38362342,NA,NA,-7.516551489,NA,NA,NA,4,-151.2467764,313.1602195,28.43833819,1.42E-07
121,731.2271539,NA,NA,NA,-0.837485367,-9.264578571,78.34573532,287.8692725,NA,6,-147.3626156,313.1867698,28.46488846,1.40E-07
