"","year","commGIS","ForPix","khum_name","area","diffPix"
"373",2007,200501,0,"Angk Ta Sou",13285563.86,0
"374",2007,200308,0,"Sangkae",25990726.18,0
"375",2007,210201,0,"Chambak",19598938.05,0
"376",2007,80408,0,"Pouthi Ban",69356680.53,0
"377",2007,80407,22,"Leuk Daek",55411414.04,0
"378",2007,200513,0,"Svay Angk",21799301.14,0
"379",2007,80405,0,"Kaoh Thum Kha",15240399.33,0
"380",2007,210704,0,"Chumreah Pen",32582138.25,0
"381",2007,200510,0,"Kraol Kou",42866680.85,0
"382",2007,200303,0,"Chak",23541440.57,0
"383",2007,50105,0,"Pheari Mean Chey",21186081.04,0
"384",2007,210612,0,"Snao",24259684.37,0
"385",2007,210705,0,"Khvav",29031237.32,0
"386",2007,140311,0,"Prey Chhor",27841001.85,0
"387",2007,80505,0,"Preaek Dach",62035330.66,0
"388",2007,140907,0,"Lvea",28604744.3,0
"389",2007,210607,0,"Kdanh",12115266.96,0
"390",2007,210613,0,"Tang Yab",16016231.12,0
"391",2007,210707,0,"Rovieng",40832759.35,0
"392",2007,200307,0,"Pong Tuek",38056805.12,0
"393",2007,200702,36,"Kokir Saom",63441924.03,0
"394",2007,50104,22,"Pheakdei",40225102.66,0
"395",2007,140604,0,"Kaoh Roka",43697772.63,0
"396",2007,140605,0,"Kaoh Sampov",123261151.2,0
"397",2007,80502,0,"K'am Samnar",28828656.91,0
"398",2007,210103,0,"Kouk Thlok",65649865.57,0
"399",2007,90201,2,"Kaoh Sdach",803151.19,0
"400",2007,90201,2,"Kaoh Sdach",108202.89,0
"401",2007,90201,2,"Kaoh Sdach",959301.44,0
"402",2007,90201,2,"Kaoh Sdach",558813.59,0
"403",2007,90201,2,"Kaoh Sdach",3158707.77,0
"404",2007,90201,2,"Kaoh Sdach",31363,0
"405",2007,90201,2,"Kaoh Sdach",349893.65,0
"406",2007,90201,2,"Kaoh Sdach",117305.56,0
"407",2007,90201,2,"Kaoh Sdach",168473818.2,-31
"408",2007,200202,0,"Nhor",25790201.23,0
"409",2007,200203,0,"Ksetr",59297160.59,0
"410",2007,210903,2,"Kus",48744669.18,0
"411",2007,211012,0,"Srangae",27339062.02,0
"412",2007,210803,0,"Roka Krau",33573583.87,0
"413",2007,210911,0,"Srae Ronoung",35550358.05,0
"414",2007,90804,267,"Stueng Chhay",86539888.91,0
"415",2007,200208,0,"Samyaong",23901109.14,0
"416",2007,210105,0,"Preaek Phtoul",42526038.38,0
"417",2007,200205,0,"Prey Thum",20075930.62,0
"418",2007,211009,0,"Sambuor",55518498.13,0
"419",2007,211013,0,"Thlok",48454333.79,0
"420",2007,210913,23,"Tram Kak",47786891.37,0
"421",2007,90201,0,"Kaoh Sdach",803151.19,0
"422",2007,90201,0,"Kaoh Sdach",108202.89,0
"423",2007,90201,0,"Kaoh Sdach",959301.44,0
"424",2007,90201,0,"Kaoh Sdach",558813.59,0
"425",2007,90201,0,"Kaoh Sdach",3158707.77,0
"426",2007,90201,0,"Kaoh Sdach",31363,0
"427",2007,90201,0,"Kaoh Sdach",349893.65,0
"428",2007,90201,0,"Kaoh Sdach",117305.56,0
"429",2007,90201,0,"Kaoh Sdach",168473818.2,-31
"430",2007,211007,0,"Prey Sloek",36415807.45,0
"431",2007,90201,0,"Kaoh Sdach",803151.19,0
"432",2007,90201,0,"Kaoh Sdach",108202.89,0
"433",2007,90201,0,"Kaoh Sdach",959301.44,0
"434",2007,90201,0,"Kaoh Sdach",558813.59,0
"435",2007,90201,0,"Kaoh Sdach",3158707.77,0
"436",2007,90201,0,"Kaoh Sdach",31363,0
"437",2007,90201,0,"Kaoh Sdach",349893.65,0
"438",2007,90201,0,"Kaoh Sdach",117305.56,0
"439",2007,90201,0,"Kaoh Sdach",168473818.2,-31
"440",2007,210905,0,"Nhaeng Nhang",26372095.09,0
"441",2007,70407,55,"Trapeang Reang",28822904.95,0
"442",2007,180204,406,"Cheung Kou",222306617.1,6
"443",2007,200206,0,"Reach Montir",27990890.78,0
"444",2007,200109,3,"Samraong",21890475.07,0
"445",2007,211008,0,"Roneam",30925461.7,0
"446",2007,180209,1280,"Sameakki",215319277.2,-11
"447",2007,200104,22,"Chres",52218131.48,0
"448",2007,70406,94,"Srae Samraong",39345614.34,0
"449",2007,200201,0,"Banteay Krang",28694737.33,0
"450",2007,90201,3,"Kaoh Sdach",803151.19,0
"451",2007,90201,3,"Kaoh Sdach",108202.89,0
"452",2007,90201,3,"Kaoh Sdach",959301.44,0
"453",2007,90201,3,"Kaoh Sdach",558813.59,0
